iso_code,country,2022_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
SGP,Singapore,"5,925,437","5,850,342",710 sq_km,"8,371/sq_km",0.79%,0.07%,114
DNK,Denmark,"5,826,603","5,792,202","43,094 sq_km",135/sq_km,0.37%,0.07%,115
FIN,Finland,"5,552,272","5,540,720","338,424 sq_km",16/sq_km,0.12%,0.07%,117
NOR,Norway,"5,493,685","5,421,241","323,802 sq_km",17/sq_km,0.84%,0.07%,118
SVK,Slovakia,"5,460,334","5,459,642","49,037 sq_km",111/sq_km,-0.01%,0.07%,119
PSE,Palestine,"5,298,429","5,101,414","6,220 sq_km",859/sq_km,2.35%,0.07%,120
OMN,Oman,"5,282,116","5,106,626","309,500 sq_km",17/sq_km,1.93%,0.07%,121
LBR,Liberia,"5,256,732","5,057,681","111,369 sq_km",48/sq_km,2.41%,0.07%,122
CRI,Costa Rica,"5,165,660","5,094,118","51,100 sq_km",101/sq_km,0.84%,0.07%,123
IRL,Ireland,"5,005,061","4,937,786","70,273 sq_km",71/sq_km,0.75%,0.06%,124
CAF,Central African Republic,"4,979,894","4,829,767","622,984 sq_km",8/sq_km,1.97%,0.06%,125
MRT,Mauritania,"4,852,889","4,649,658","1,030,700 sq_km",5/sq_km,2.66%,0.06%,126
NZL,New Zealand,"4,883,631","4,822,233","270,467 sq_km",18/sq_km,0.77%,0.06%,127
PAN,Panama,"4,421,640","4,314,767","75,417 sq_km",59/sq_km,1.49%,0.06%,128
KWT,Kuwait,"4,358,256","4,270,571","17,818 sq_km",246/sq_km,1.20%,0.06%,129
HRV,Croatia,"4,068,199","4,105,267","56,594 sq_km",72/sq_km,-0.55%,0.05%,130
MDA,Moldova,"4,017,415","4,033,963","33,846 sq_km",119/sq_km,-0.27%,0.05%,131
GEO,Georgia,"3,972,841","3,989,167","69,700 sq_km",57/sq_km,-0.28%,0.05%,132
ERI,Eritrea,"3,639,325","3,546,421","117,600 sq_km",31/sq_km,1.69%,0.05%,133
URY,Uruguay,"3,491,913","3,473,730","181,034 sq_km",19/sq_km,0.31%,0.04%,134
MNG,Mongolia,"3,359,120","3,278,290","1,564,110 sq_km",2/sq_km,1.47%,0.04%,135
BIH,Bosnia And Herzegovina,"3,255,966","3,280,819","51,209 sq_km",63/sq_km,-0.43%,0.04%,136
JAM,Jamaica,"2,980,567","2,961,167","10,991 sq_km",272/sq_km,0.39%,0.04%,137
QAT,Qatar,"2,960,108","2,881,053","11,586 sq_km",257/sq_km,1.69%,0.04%,138
ARM,Armenia,"2,970,551","2,963,243","29,743 sq_km",100/sq_km,0.13%,0.04%,139
ALB,Albania,"2,868,921","2,877,797","28,748 sq_km",100/sq_km,-0.23%,0.04%,140
PRI,Puerto Rico,"2,835,047","2,860,853","8,870 sq_km",319/sq_km,0.06%,0.04%,141
LTU,Lithuania,"2,673,168","2,722,289","65,300 sq_km",41/sq_km,-1.05%,0.03%,142
NAM,Namibia,"2,615,906","2,540,905","825,615 sq_km",3/sq_km,1.80%,0.03%,143
GMB,Gambia,"2,530,753","2,416,668","10,689 sq_km",239/sq_km,2.88%,0.03%,144
BWA,Botswana,"2,424,185","2,351,627","582,000 sq_km",4/sq_km,1.83%,0.03%,145
GAB,Gabon,"2,310,877","2,225,734","267,668 sq_km",9/sq_km,2.31%,0.03%,146
LSO,Lesotho,"2,169,191","2,142,249","30,355 sq_km",72/sq_km,0.77%,0.03%,147
MKD,North Macedonia,"2,081,870","2,083,374","25,713 sq_km",81/sq_km,-0.07%,0.03%,148
SVN,Slovenia,"2,078,317","2,078,938","20,273 sq_km",103/sq_km,-0.03%,0.03%,149
GNB,Guinea Bissau,"2,044,834","1,968,001","36,125 sq_km",57/sq_km,2.38%,0.03%,150
LVA,Latvia,"1,856,052","1,886,198","64,559 sq_km",29/sq_km,-0.97%,0.02%,151
BHR,Bahrain,"1,768,704","1,701,575",765 sq_km,"2,332/sq_km",2.04%,0.02%,152
GNQ,Equatorial Guinea,"1,478,553","1,402,985","28,051 sq_km",53/sq_km,3.23%,0.02%,153
TTO,Trinidad And Tobago,"1,405,312","1,399,488","5,130 sq_km",274/sq_km,0.23%,0.02%,154
TLS,Timor Leste,"1,359,667","1,318,445","14,874 sq_km",92/sq_km,1.90%,0.02%,155
EST,Estonia,"1,322,900","1,326,535","45,227 sq_km",29/sq_km,-0.25%,0.02%,156
MUS,Mauritius,"1,274,161","1,271,768","2,040 sq_km",625/sq_km,0.10%,0.02%,157
CYP,Cyprus,"1,220,275","1,207,359","9,251 sq_km",132/sq_km,0.64%,0.02%,158
DJI,Djibouti,"1,010,721","988,000","23,200 sq_km",44/sq_km,1.39%,0.01%,160
FJI,Fiji,"906,919","896,445","18,272 sq_km",50/sq_km,0.73%,0.01%,161
RU,Reunion,"905,656","895,312","2,511 sq_km",362/sq_km,0.71%,0.01%,162
COM,Comoros,"899,921","869,601","1,862 sq_km",487/sq_km,2.13%,0.01%,163
GUY,Guyana,"792,630","786,552","214,969 sq_km",4/sq_km,0.47%,0.01%,164
BTN,Bhutan,"784,829","771,608","38,394 sq_km",21/sq_km,1.03%,0.01%,165
SLB,Solomon Islands,"714,368","686,884","28,896 sq_km",25/sq_km,2.44%,0.01%,166
MAC,Macau,"663,953","649,335",30 sq_km,"22,250/sq_km",1.38%,0.01%,167
LUX,Luxembourg,"639,259","625,978","2,586 sq_km",248/sq_km,1.19%,0.01%,168
MNE,Montenegro,"627,950","628,066","13,812 sq_km",45/sq_km,-0.02%,0.01%,169
ESH,Western Sahara,"620,643","597,339","266,000 sq_km",2/sq_km,2.33%,0.01%,170
SUR,Suriname,"594,850","586,632","163,820 sq_km",4/sq_km,0.85%,0.01%,171
CPV,Cape Verde,"565,414","555,987","4,033 sq_km",141/sq_km,1.03%,0.01%,172
MDV,Maldives,"540,844","540,544",300 sq_km,"1,803/sq_km",-0.48%,0.01%,173
BRN,Brunei,"443,875","437,479","5,765 sq_km",77/sq_km,0.88%,0.01%,174
MLT,Malta,"443,609","441,543",316 sq_km,"1,405/sq_km",0.28%,0.01%,175
BLZ,Belize,"409,360","397,628","22,966 sq_km",18/sq_km,1.80%,0.01%,176
BHS,Bahamas,"399,101","393,244","13,943 sq_km",29/sq_km,0.91%,0.01%,177
MTQ,Martinique,"374,370","375,265","1,128 sq_km",332/sq_km,-0.18%,0.00%,179
ISL,Iceland,"344,544","341,243","103,000 sq_km",3/sq_km,0.59%,0.00%,180
VUT,Vanuatu,"318,861","307,145","12,189 sq_km",26/sq_km,2.34%,0.00%,181
NCL,New Caledonia,"289,925","285,498","18,575 sq_km",16/sq_km,0.94%,0.00%,183
BRB,Barbados,"287,882","287,375",430 sq_km,670/sq_km,0.11%,0.00%,184
MYT,Mayotte,"283,571","272,815",374 sq_km,765/sq_km,2.41%,0.00%,185
PYF,French Polynesia,"283,598","280,908","4,167 sq_km",68/sq_km,0.58%,0.00%,186
STP,Sao Tome And Principe,"225,981","219,159",964 sq_km,236/sq_km,1.93%,0.00%,187
WSM,Samoa,"201,532","198,414","2,842 sq_km",71/sq_km,1.04%,0.00%,188
LCA,Saint Lucia,"184,830","183,627",616 sq_km,301/sq_km,0.39%,0.00%,189
GUM,Guam,"170,953","168,775",549 sq_km,312/sq_km,0.79%,0.00%,190
CUW,Curacao,"165,246","164,093",444 sq_km,373/sq_km,0.44%,0.00%,191
KIR,Kiribati,"122,570","119,449",811 sq_km,152/sq_km,1.67%,0.00%,192
FSM,Micronesia,"117,065","115,023",702 sq_km,167/sq_km,1.06%,0.00%,193
GRD,Grenada,"113,334","112,523",344 sq_km,330/sq_km,0.40%,0.00%,194
TON,Tonga,"107,325","105,695",747 sq_km,144/sq_km,0.93%,0.00%,196
ABW,Aruba,"107,468","106,766",180 sq_km,598/sq_km,0.38%,0.00%,197
VIR,United States Virgin Islands,"104,112","104,425",347 sq_km,300/sq_km,-0.24%,0.00%,198
ATG,Antigua And Barbuda,"99,226","97,929",442 sq_km,225/sq_km,0.79%,0.00%,199
SYC,Seychelles,"99,285","98,347",452 sq_km,220/sq_km,0.52%,0.00%,200
AND,Andorra,"77,463","77,265",468 sq_km,166/sq_km,0.14%,0.00%,202
DMA,Dominica,"72,344","71,986",751 sq_km,96/sq_km,0.25%,0.00%,203
CYM,Cayman Islands,"67,277","65,722",264 sq_km,255/sq_km,1.17%,0.00%,204
BMU,Bermuda,"61,939","62,278",54 sq_km,"1,147/sq_km",-0.24%,0.00%,205
MHL,Marshall Islands,"60,057","59,190",181 sq_km,332/sq_km,0.75%,0.00%,206
MNP,Northern Mariana Islands,"58,269","57,559",464 sq_km,126/sq_km,0.61%,0.00%,207
GRL,Greenland,"56,973","56,770","2,166,086 sq_km",0/sq_km,0.17%,0.00%,208
ASM,American Samoa,"55,030","55,191",199 sq_km,277/sq_km,-0.13%,0.00%,209
KNA,Saint Kitts And Nevis,"53,871","53,199",261 sq_km,206/sq_km,0.61%,0.00%,210
FRO,Faroe Islands,"49,233","48,863","1,393 sq_km",35/sq_km,0.38%,0.00%,211
MAF,Sint Maarten,"43,966","42,876",34 sq_km,"1,293/sq_km",1.28%,0.00%,212
MCO,Monaco,"39,783","39,242",2 sq_km,"19,892/sq_km",0.69%,0.00%,213
TCA,Turks And Caicos Islands,"39,741","38,717",948 sq_km,42/sq_km,1.30%,0.00%,214
MAF,Saint Martin,"39,730","38,666",53 sq_km,750/sq_km,1.26%,0.00%,215
LIE,Liechtenstein,"38,387","38,128",160 sq_km,240/sq_km,0.36%,0.00%,216
SMR,San Marino,"34,085","33,931",61 sq_km,559/sq_km,0.20%,0.00%,217
GIB,Gibraltar,"33,704","33,691",6 sq_km,"5,617/sq_km",0.02%,0.00%,218
PLW,Palau,"18,233","18,094",459 sq_km,40/sq_km,0.35%,0.00%,220
COK,Cook Islands,"17,571","17,564",236 sq_km,74/sq_km,0.03%,0.00%,221
AIA,Anguilla,"15,230","15,003",91 sq_km,167/sq_km,0.75%,0.00%,222
TUV,Tuvalu,"12,066","11,792",26 sq_km,464/sq_km,1.13%,0.00%,223
WLF,Wallis And Futuna,"10,982","11,239",142 sq_km,77/sq_km,-1.01%,0.00%,224
NRU,Nauru,"10,903","10,824",21 sq_km,519/sq_km,0.25%,0.00%,225
BL,Saint Barthelemy,"9,945","9,877",21 sq_km,474/sq_km,0.38%,0.00%,226
SPM,Saint Pierre And Miquelon,"5,759","5,794",242 sq_km,24/sq_km,-0.12%,0.00%,227
MSR,Montserrat,"4,965","4,992",102 sq_km,49/sq_km,-0.24%,0.00%,228
FLK,Falkland Islands,"3,539","3,480","12,173 sq_km",0/sq_km,0.17%,0.00%,229
NIU,Niue,"1,622","1,626",260 sq_km,6/sq_km,0.19%,0.00%,230
TKL,Tokelau,"1,378","1,357",12 sq_km,115/sq_km,0.36%,0.00%,231
VAT,Vatican City,799,801,1 sq_km,799/sq_km,-0.12%,0.00%,232
